research_category	feature_name	source_type	habitat	final_clade	final_clade_name	n_unique_MAG_all	mean_score_pct_all	prevalence_ge_50_pct_all	prevalence_ge_75_pct_all	n_unique_MAG_excluding_dual_copy	mean_score_pct_excluding_dual_copy	prevalence_ge_50_pct_excluding_dual_copy	prevalence_ge_75_pct_excluding_dual_copy	mean_score_delta_pct	prevalence_ge_50_delta_pct	prevalence_ge_75_delta_pct	exclusion_effect
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	41.6666666666667	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	33.3333333333333	0	0	1	33.3333333333333	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	41.6666666666667	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	44.4444444444444	50	0	6	44.4444444444444	50	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	50	100	0	1	50	100	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	16.6666666666667	0	0	1	16.6666666666667	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	17.6470588235294	0	0	1	17.6470588235294	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	20	0	0	5	20	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	26.9607843137255	16.6666666666667	0	12	26.9607843137255	16.6666666666667	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	33.8235294117647	15	0	20	33.8235294117647	15	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	0	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	23.5294117647059	0	0	1	23.5294117647059	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	0	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	32.3529411764706	0	0	6	32.3529411764706	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	23.5294117647059	0	0	1	23.5294117647059	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	11.7647058823529	0	0	1	11.7647058823529	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	0	0	0	1	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	0	0	0	5	0	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	2.77777777777778	0	0	12	2.77777777777778	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Methane oxidation, methanotroph, methane => formaldehyde	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	0.833333333333333	0	0	20	0.833333333333333	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
